k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.1467,0.1597,0.176,0.1285,0.1001,0.1168,0.1188,0.1233,0.183
0.1,0.1012,0.1009,0.1599,0.1602,0.1203,0.1663,0.1759,0.1419
0.1249,0.1131,0.1117,0.1098,0.1671,0.1255,0.1358,0.1592,0.1599
0.1072,0.1227,0.1539,0.1676,0.1156,0.1478,0.1222,0.1498,0.102
0.1501,0.1396,0.1109,0.1002,0.1496,0.1428,0.1174,0.1547,0.0997
0.1578,0.1389,0.1409,0.1402,0.153,0.1315,0.1497,0.1359,0.1315
0.132,0.1316,0.1281,0.1366,0.1868,0.1037,0.1827,0.1481,0.1898
0.1088,0.1001,0.144,0.1519,0.1361,0.1528,0.1631,0.1051,0.1406
0.129,0.1261,0.1375,0.1633,0.1176,0.1352,0.1066,0.1172,0.1323
0.1001,0.1353,0.1671,0.1525,0.1079,0.1422,0.1784,0.1482,0.1662
