k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.2829,0.2171,0.2865,0.2786,0.2661,0.2711,0.2643,0.2663,0.2878
0.1901,0.2597,0.2703,0.2711,0.2454,0.2584,0.2485,0.2531,0.218
0.2174,0.2213,0.2292,0.2521,0.2873,0.2681,0.229,0.2489,0.2702
0.1915,0.1451,0.2559,0.2319,0.2801,0.2479,0.2405,0.2553,0.2768
0.2067,0.2273,0.1586,0.2801,0.2404,0.2589,0.2598,0.2564,0.2623
0.2366,0.2416,0.2812,0.2421,0.2587,0.2597,0.2587,0.2619,0.2332
0.1953,0.2014,0.2488,0.2669,0.2781,0.2571,0.2482,0.2741,0.2686
0.2345,0.2584,0.2639,0.2607,0.2664,0.2673,0.2735,0.2616,0.2752
0.1965,0.1603,0.2461,0.2443,0.2217,0.2313,0.294,0.2505,0.2681
0.2237,0.2844,0.2544,0.147,0.2702,0.2531,0.2512,0.2601,0.2747
