k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.4154,0.4251,0.4012,0.4223,0.4114,0.4055,0.4214,0.4061,0.4164
0.3666,0.395,0.3971,0.4143,0.4137,0.411,0.405,0.4213,0.4173
0.3599,0.4266,0.4216,0.411,0.4156,0.4113,0.4056,0.4155,0.4051
0.3971,0.4118,0.4048,0.4267,0.428,0.4163,0.4047,0.4149,0.4238
0.3887,0.4007,0.3964,0.4161,0.4363,0.4076,0.417,0.4128,0.4191
0.3717,0.4073,0.4152,0.3834,0.4072,0.4348,0.4064,0.4136,0.4165
0.3746,0.4049,0.402,0.4196,0.3925,0.416,0.4244,0.4146,0.4139
0.3961,0.3989,0.4172,0.4013,0.4113,0.4119,0.4213,0.4276,0.4019
0.3789,0.3865,0.4152,0.4048,0.4046,0.4092,0.4232,0.4086,0.4217
0.4089,0.39,0.3853,0.4095,0.4166,0.4186,0.4101,0.4238,0.4161
