k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.3245,0.316,0.3276,0.3116,0.3064,0.3203,0.3269,0.3326,0.349
0.2802,0.2639,0.3258,0.3623,0.3353,0.3427,0.3144,0.3206,0.3099
0.3077,0.335,0.306,0.3209,0.33,0.3279,0.316,0.3106,0.3393
0.2902,0.3176,0.329,0.3316,0.3154,0.3351,0.3136,0.33,0.3127
0.2855,0.2827,0.3376,0.3052,0.3172,0.3301,0.3254,0.3044,0.3219
0.2683,0.3372,0.3203,0.3306,0.3355,0.3,0.3215,0.3341,0.3314
0.3052,0.3139,0.3487,0.328,0.3313,0.3113,0.3047,0.32,0.3247
0.2857,0.3304,0.3286,0.3192,0.3047,0.3261,0.3305,0.3321,0.352
0.3069,0.3265,0.2999,0.3307,0.3438,0.3357,0.337,0.3516,0.3278
0.2687,0.3422,0.3305,0.3286,0.3318,0.3481,0.3356,0.3309,0.3572
