k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.118,0.1625,0.1669,0.2171,0.183,0.2048,0.2346,0.1909,0.2403
0.1746,0.2052,0.1812,0.1859,0.1851,0.1664,0.181,0.1921,0.1527
0.2042,0.1858,0.1949,0.169,0.2119,0.1967,0.198,0.1842,0.2227
0.1745,0.1205,0.2046,0.1871,0.1755,0.2126,0.2328,0.2018,0.1923
0.1167,0.1585,0.1653,0.222,0.1298,0.2151,0.2123,0.1895,0.2285
0.2039,0.2363,0.2107,0.2015,0.1575,0.1593,0.23,0.2017,0.2082
0.1506,0.1843,0.1335,0.1963,0.2006,0.2258,0.1862,0.2107,0.2106
0.1925,0.1814,0.1575,0.1561,0.1745,0.202,0.1872,0.146,0.1772
0.1676,0.1919,0.1481,0.2123,0.1225,0.1942,0.1936,0.1998,0.1988
0.2088,0.1488,0.1874,0.1987,0.2179,0.1316,0.194,0.1947,0.2075
