k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.429,0.4592,0.4423,0.4451,0.4539,0.4359,0.4663,0.4711,0.4508
0.4482,0.4444,0.4457,0.4557,0.4528,0.4599,0.4597,0.4435,0.461
0.4486,0.4422,0.4695,0.4424,0.4437,0.4589,0.4775,0.4694,0.448
0.4433,0.4666,0.4578,0.4529,0.478,0.4609,0.4681,0.4772,0.4794
0.4374,0.4464,0.4591,0.4432,0.4532,0.4423,0.4551,0.4517,0.4598
0.3925,0.4478,0.447,0.4652,0.4614,0.4585,0.4601,0.4438,0.4559
0.4416,0.4315,0.455,0.468,0.4499,0.4533,0.4714,0.4595,0.4875
0.4569,0.4348,0.4443,0.4496,0.4498,0.4702,0.4546,0.4536,0.4655
0.4386,0.4743,0.4577,0.4462,0.4662,0.4559,0.4535,0.4645,0.4671
0.4241,0.419,0.4624,0.4412,0.4566,0.47,0.4544,0.4671,0.4767
