k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.4838,0.4661,0.4881,0.4672,0.4939,0.4677,0.4919,0.4886,0.4826
0.4693,0.475,0.4778,0.4786,0.4744,0.4874,0.4756,0.4825,0.477
0.4734,0.4691,0.4662,0.4854,0.484,0.4856,0.4877,0.486,0.4717
0.4422,0.4657,0.4855,0.4795,0.4995,0.4843,0.4899,0.4795,0.4855
0.4346,0.4734,0.4648,0.4837,0.4787,0.4843,0.4783,0.4772,0.4908
0.4599,0.4696,0.4927,0.4722,0.4806,0.4883,0.4739,0.4884,0.4908
0.4451,0.4531,0.4742,0.4761,0.4887,0.4734,0.492,0.487,0.473
0.4827,0.4633,0.4811,0.4822,0.4753,0.4863,0.4889,0.4885,0.4821
0.4509,0.489,0.4964,0.4817,0.4742,0.4972,0.4932,0.4838,0.48
0.4845,0.4609,0.4812,0.4803,0.4668,0.49,0.4825,0.4973,0.4823
