k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.7816,0.8838,0.8731,0.8773,0.861,0.856,0.8366,0.8577,0.8559
0.819,0.8648,0.8895,0.8825,0.8605,0.8717,0.8427,0.8572,0.835
0.8539,0.8677,0.8713,0.8776,0.852,0.8615,0.8598,0.846,0.8675
0.8443,0.8771,0.8508,0.8768,0.855,0.8636,0.8396,0.8574,0.8498
0.8377,0.887,0.8701,0.8478,0.8664,0.867,0.8434,0.8515,0.8729
0.8418,0.8821,0.8787,0.8723,0.8453,0.8645,0.8441,0.8399,0.8473
0.8611,0.8827,0.8465,0.877,0.8664,0.8658,0.8582,0.8567,0.8651
0.8161,0.8813,0.8764,0.8778,0.8643,0.8443,0.8499,0.8593,0.8579
0.8519,0.8722,0.8714,0.8714,0.8704,0.8595,0.8332,0.8673,0.852
0.8379,0.8889,0.8598,0.8735,0.8704,0.863,0.8359,0.8681,0.8562
0.8184,0.8496,0.8702,0.8785,0.8521,0.8555,0.8689,0.8515,0.8607
0.8374,0.8844,0.865,0.8813,0.8545,0.858,0.8411,0.8402,0.868
0.8096,0.8769,0.8639,0.8533,0.853,0.8561,0.8371,0.8691,0.8634
0.8279,0.8731,0.8737,0.8723,0.8609,0.8541,0.8535,0.8506,0.8488
0.8412,0.8784,0.8407,0.8756,0.8617,0.8638,0.8497,0.8583,0.8464
0.829,0.8663,0.874,0.8688,0.8709,0.8575,0.8663,0.8602,0.865
0.8075,0.8836,0.8679,0.8735,0.8645,0.8493,0.843,0.8516,0.8645
0.8664,0.872,0.8715,0.8774,0.8711,0.8706,0.8686,0.8539,0.8643
0.858,0.87,0.8673,0.8722,0.8582,0.8493,0.8521,0.8576,0.8565
0.8524,0.8744,0.8821,0.8719,0.8606,0.8487,0.861,0.8574,0.8533
0.8341,0.8822,0.8775,0.8671,0.8398,0.8623,0.8406,0.8607,0.8439
0.7913,0.8732,0.8627,0.8727,0.8477,0.8701,0.8525,0.8661,0.8608
0.8717,0.8716,0.8725,0.8666,0.8124,0.8567,0.8597,0.8559,0.8713
0.8429,0.8728,0.8929,0.8694,0.8441,0.861,0.8443,0.8627,0.8649
0.8462,0.8664,0.8671,0.8468,0.8049,0.8523,0.8529,0.8734,0.8617
