k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.1162,0.1611,0.1516,0.1615,0.1468,0.145,0.1543,0.1713,0.2166
0.1293,0.1185,0.117,0.119,0.1719,0.1557,0.1504,0.1926,0.1746
0.1323,0.1291,0.1173,0.1744,0.1421,0.1756,0.1504,0.2017,0.1698
0.1123,0.1411,0.12,0.1145,0.1228,0.1564,0.1324,0.1391,0.188
0.1265,0.1272,0.1197,0.1233,0.1839,0.1704,0.13,0.2425,0.1285
0.1355,0.1254,0.1339,0.1773,0.1938,0.127,0.189,0.1292,0.1819
0.1175,0.1308,0.1322,0.1526,0.1441,0.1328,0.1882,0.1722,0.1313
0.1412,0.1707,0.1124,0.1724,0.1973,0.1211,0.1519,0.1613,0.1623
0.121,0.1199,0.14,0.119,0.1707,0.1285,0.1627,0.1453,0.1311
0.1657,0.1776,0.1347,0.1888,0.1965,0.1456,0.1512,0.1326,0.2097
0.1384,0.1515,0.1172,0.1611,0.1345,0.1342,0.1788,0.1538,0.1732
0.1485,0.1427,0.1433,0.1162,0.1357,0.1485,0.1512,0.1184,0.1486
0.1157,0.1512,0.1284,0.1466,0.1355,0.1785,0.1652,0.1638,0.1641
0.1189,0.1409,0.1473,0.1357,0.1349,0.1475,0.2037,0.1547,0.124
0.122,0.1267,0.1601,0.1721,0.1148,0.1387,0.1918,0.178,0.1292
0.1454,0.1248,0.1255,0.1511,0.1696,0.1248,0.1963,0.1586,0.2027
0.1259,0.1232,0.1288,0.1945,0.1649,0.1677,0.1749,0.1437,0.1777
0.1184,0.1145,0.1281,0.1864,0.1332,0.1585,0.1417,0.2072,0.1855
0.1436,0.1549,0.1434,0.1693,0.207,0.1256,0.1881,0.1501,0.1686
0.1712,0.1546,0.1335,0.158,0.2366,0.1238,0.1748,0.1453,0.2055
0.1436,0.1214,0.1485,0.1582,0.141,0.1752,0.1959,0.1336,0.1608
0.1226,0.1423,0.1225,0.1453,0.1801,0.1494,0.1718,0.1716,0.1767
0.1502,0.1346,0.1228,0.1675,0.1576,0.1314,0.1534,0.1594,0.1677
0.1295,0.1104,0.1306,0.1542,0.1828,0.1692,0.1445,0.1384,0.1547
0.1432,0.1189,0.1323,0.1255,0.1227,0.1307,0.142,0.1642,0.1842
