k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.1392,0.1656,0.2732,0.24,0.2673,0.2752,0.2837,0.3271,0.2457
0.1623,0.177,0.1636,0.1733,0.2198,0.2585,0.2967,0.3187,0.3575
0.1834,0.1562,0.2452,0.1909,0.2443,0.2684,0.2089,0.2447,0.2683
0.1422,0.1392,0.217,0.2516,0.3276,0.2487,0.2661,0.2181,0.4018
0.1716,0.1582,0.1798,0.2195,0.2471,0.2398,0.2602,0.3787,0.3436
0.1246,0.142,0.2025,0.2136,0.2863,0.2732,0.2995,0.2781,0.2992
0.1976,0.1716,0.2551,0.2288,0.2407,0.2725,0.2941,0.3287,0.3107
0.1803,0.1985,0.2273,0.2273,0.219,0.2481,0.2345,0.3138,0.3046
0.1363,0.1631,0.2401,0.2139,0.2462,0.2331,0.2902,0.2839,0.3282
0.1925,0.1689,0.1618,0.2276,0.2844,0.2885,0.2959,0.1973,0.4475
0.1396,0.1687,0.1891,0.1789,0.3052,0.1745,0.272,0.3929,0.3308
0.204,0.1594,0.2129,0.2201,0.2107,0.2445,0.3021,0.3074,0.2494
0.1402,0.1733,0.1775,0.1618,0.2038,0.2616,0.2264,0.2427,0.3531
0.1121,0.1839,0.2436,0.239,0.2933,0.2256,0.3457,0.2928,0.277
0.1436,0.2054,0.2486,0.1819,0.1981,0.2204,0.3067,0.3221,0.3535
0.1354,0.1982,0.2251,0.1797,0.2468,0.2071,0.2905,0.3211,0.3238
0.1898,0.1632,0.2205,0.2214,0.2632,0.2488,0.2839,0.2808,0.2425
0.1861,0.1799,0.2945,0.2991,0.2459,0.21,0.3552,0.2819,0.3
0.1657,0.1806,0.1952,0.1837,0.2381,0.326,0.2536,0.2757,0.3327
0.1479,0.1382,0.2146,0.2228,0.3234,0.2769,0.2664,0.2002,0.3402
0.1978,0.2365,0.1892,0.1996,0.2316,0.2536,0.195,0.2627,0.2768
0.1677,0.1881,0.189,0.2311,0.313,0.2604,0.2877,0.204,0.2597
0.1609,0.1339,0.206,0.2329,0.2268,0.2473,0.2391,0.3086,0.3273
0.123,0.1791,0.2268,0.2401,0.1994,0.3983,0.2795,0.2516,0.316
0.2,0.2064,0.2206,0.1928,0.2445,0.2713,0.254,0.2858,0.2774
