k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.8292,0.8834,0.8607,0.8637,0.8678,0.8741,0.8544,0.8427,0.8605
0.835,0.8715,0.8376,0.8764,0.8595,0.859,0.8467,0.8541,0.8515
0.8578,0.8807,0.8792,0.8692,0.8518,0.8533,0.8405,0.8543,0.8477
0.8477,0.8753,0.8692,0.8604,0.8585,0.8529,0.8506,0.8551,0.8395
0.8251,0.8487,0.8572,0.8657,0.8599,0.8569,0.8398,0.8538,0.8597
0.8464,0.8628,0.8715,0.8724,0.87,0.8709,0.8499,0.8507,0.8602
0.8083,0.8812,0.8677,0.8745,0.8401,0.8662,0.8597,0.8526,0.8489
0.8423,0.8717,0.8738,0.8638,0.8526,0.8454,0.8541,0.8624,0.8429
0.8171,0.874,0.8802,0.8688,0.8688,0.8581,0.8354,0.8533,0.8488
0.826,0.8741,0.8785,0.8714,0.8499,0.8527,0.8572,0.8495,0.855
0.8415,0.8788,0.8777,0.87,0.8428,0.8702,0.8374,0.8536,0.8618
0.8365,0.8831,0.8765,0.8572,0.8636,0.8658,0.8443,0.8445,0.8456
0.8626,0.8659,0.877,0.8667,0.8494,0.8585,0.8588,0.8359,0.8569
0.8448,0.8765,0.8445,0.8643,0.8499,0.8654,0.847,0.8616,0.8636
0.8605,0.8862,0.8432,0.865,0.8705,0.865,0.8517,0.8544,0.8409
0.8122,0.8697,0.8795,0.8683,0.8485,0.8656,0.8335,0.8624,0.8515
0.8505,0.8839,0.8572,0.8675,0.8648,0.8646,0.8443,0.8572,0.8603
0.8416,0.8765,0.8742,0.8697,0.8626,0.8534,0.84,0.8589,0.8363
0.8353,0.8737,0.8544,0.8603,0.8709,0.8655,0.8423,0.8647,0.8481
0.8626,0.8739,0.8691,0.8648,0.8638,0.8548,0.8357,0.8629,0.8539
0.841,0.8776,0.8652,0.8581,0.8744,0.8596,0.86,0.8495,0.845
0.8405,0.8762,0.8766,0.8763,0.87,0.8433,0.8602,0.8476,0.8537
0.8124,0.8869,0.8799,0.8742,0.8415,0.8688,0.8529,0.8522,0.8553
0.8118,0.8622,0.8634,0.8759,0.8478,0.8536,0.8518,0.8537,0.8585
0.8454,0.8808,0.8685,0.8567,0.8546,0.8614,0.8446,0.8586,0.8482
