k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.2381,0.314,0.5694,0.8321,0.7367,0.778,0.8482,0.8379,0.8197
0.2104,0.3937,0.5693,0.7193,0.7342,0.8062,0.7923,0.8437,0.8349
0.1985,0.3967,0.4372,0.6634,0.7331,0.7754,0.8366,0.8259,0.8414
0.1936,0.3561,0.4689,0.4924,0.8331,0.8351,0.8023,0.838,0.8284
0.2109,0.4069,0.5078,0.5648,0.6261,0.6158,0.8237,0.8637,0.8487
0.3325,0.3938,0.4984,0.5859,0.786,0.7093,0.8169,0.8374,0.8423
0.199,0.399,0.4574,0.7406,0.7148,0.8225,0.8225,0.8647,0.8431
0.1831,0.3229,0.3907,0.7154,0.7784,0.816,0.7585,0.856,0.7431
0.2097,0.3117,0.5138,0.6035,0.7539,0.8187,0.8515,0.8146,0.85
0.247,0.2915,0.6101,0.5327,0.6985,0.8268,0.7473,0.8311,0.8278
0.2642,0.3773,0.5599,0.6313,0.7907,0.8146,0.7895,0.8629,0.8622
0.2436,0.2922,0.4272,0.4889,0.8047,0.776,0.7945,0.8562,0.8503
0.1976,0.3314,0.4534,0.551,0.6654,0.7589,0.8037,0.822,0.7937
0.2982,0.4361,0.4939,0.73,0.8068,0.7702,0.7763,0.8087,0.8374
0.2109,0.3052,0.4253,0.576,0.805,0.8503,0.8499,0.8523,0.8263
0.2382,0.4109,0.6082,0.5597,0.7627,0.829,0.8028,0.878,0.8706
0.1992,0.4155,0.5738,0.6718,0.7418,0.7672,0.8271,0.8167,0.7954
0.241,0.3303,0.4991,0.6955,0.7244,0.8312,0.8206,0.8132,0.8607
0.2508,0.3821,0.4311,0.5179,0.7417,0.7721,0.8243,0.8546,0.8431
0.2582,0.4467,0.3975,0.5861,0.798,0.6477,0.7817,0.8424,0.8511
0.2114,0.2931,0.4399,0.4089,0.7246,0.7975,0.8344,0.809,0.8163
0.2286,0.3724,0.4797,0.6284,0.8059,0.722,0.7979,0.8516,0.864
0.2615,0.3002,0.5363,0.5647,0.6656,0.8309,0.8486,0.8359,0.837
0.2198,0.4059,0.444,0.7306,0.6194,0.8188,0.8245,0.8556,0.8627
0.2786,0.2906,0.6022,0.6888,0.7818,0.7411,0.8015,0.8418,0.8592
