k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.7339,0.758,0.7861,0.7764,0.8206,0.8394,0.8294,0.826,0.8365
0.7432,0.724,0.811,0.8081,0.8325,0.8308,0.8281,0.8488,0.834
0.7258,0.7535,0.7911,0.8068,0.8028,0.827,0.8353,0.8452,0.862
0.7113,0.7791,0.8008,0.8106,0.7843,0.8424,0.8387,0.8343,0.8374
0.7696,0.7514,0.7701,0.795,0.8253,0.8469,0.8261,0.8386,0.8352
0.7381,0.7457,0.7542,0.8058,0.8096,0.8345,0.8504,0.8383,0.8375
0.7389,0.7578,0.7717,0.8134,0.811,0.8221,0.8215,0.8566,0.8556
0.7496,0.7171,0.776,0.7794,0.8122,0.8241,0.804,0.8449,0.8367
0.735,0.7424,0.8104,0.7884,0.8196,0.8164,0.8378,0.8365,0.831
0.7258,0.7556,0.8136,0.8108,0.8157,0.8239,0.8027,0.8313,0.8188
0.7018,0.7696,0.7735,0.8156,0.8153,0.8313,0.8498,0.8196,0.8379
0.7583,0.7463,0.7959,0.7939,0.798,0.8471,0.8317,0.8228,0.82
0.7355,0.7246,0.7698,0.8396,0.8012,0.8403,0.8168,0.8129,0.8176
0.7366,0.7528,0.7534,0.8236,0.825,0.8055,0.8449,0.8311,0.8586
0.7394,0.7623,0.7736,0.8256,0.8136,0.8397,0.8364,0.8185,0.8409
0.7185,0.7476,0.7811,0.8294,0.8144,0.8431,0.8487,0.828,0.8289
0.7485,0.7702,0.814,0.7987,0.8056,0.8327,0.8173,0.8336,0.8246
0.7404,0.7345,0.7746,0.8031,0.8148,0.8434,0.8162,0.8463,0.8478
0.7634,0.75,0.7994,0.8584,0.832,0.8144,0.838,0.8354,0.8117
0.7392,0.7522,0.7751,0.8035,0.7985,0.8443,0.8195,0.7958,0.8325
0.7199,0.7932,0.8266,0.8041,0.8327,0.8411,0.8208,0.836,0.8335
0.7288,0.7438,0.7977,0.8001,0.8243,0.8138,0.8456,0.8281,0.8574
0.6897,0.7442,0.8287,0.8206,0.8251,0.8462,0.8307,0.845,0.8305
0.7557,0.7125,0.8015,0.7778,0.7983,0.8321,0.8443,0.8213,0.8224
0.7012,0.7493,0.7935,0.8294,0.8433,0.8195,0.8102,0.8371,0.8436
