k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.8755,0.8981,0.8969,0.8938,0.9021,0.8939,0.8953,0.875,0.8855
0.8612,0.8922,0.9096,0.8992,0.8901,0.8935,0.8746,0.8872,0.8843
0.8807,0.9074,0.8988,0.8805,0.9017,0.8765,0.891,0.9008,0.8936
0.8929,0.9073,0.8975,0.8803,0.8944,0.8988,0.892,0.8857,0.8727
0.8809,0.8999,0.9045,0.9025,0.8851,0.8867,0.8745,0.8816,0.8789
0.9031,0.8959,0.8992,0.9075,0.9015,0.8856,0.8728,0.8879,0.8858
0.8966,0.9028,0.9082,0.9121,0.8874,0.9034,0.8804,0.8705,0.889
0.8569,0.8978,0.8979,0.8847,0.8958,0.8997,0.8868,0.9042,0.8803
0.8928,0.8908,0.9181,0.8903,0.8931,0.8927,0.8873,0.8869,0.8934
0.9032,0.896,0.9086,0.8997,0.9032,0.8904,0.8876,0.882,0.8902
0.9129,0.8873,0.8882,0.8938,0.9111,0.9038,0.8817,0.8973,0.886
0.868,0.9045,0.8884,0.8961,0.8906,0.8851,0.8866,0.8951,0.8715
0.882,0.8838,0.9157,0.8909,0.8789,0.9033,0.8949,0.8977,0.8762
0.9119,0.8966,0.9145,0.8929,0.8992,0.8794,0.8865,0.8934,0.8902
0.8934,0.8925,0.8926,0.8722,0.8939,0.889,0.8918,0.9005,0.8908
0.8994,0.8944,0.908,0.8956,0.8946,0.8858,0.8922,0.8892,0.8939
0.8712,0.8939,0.9068,0.9057,0.8893,0.8837,0.8843,0.8889,0.8766
0.9033,0.902,0.9165,0.9072,0.9108,0.8831,0.8864,0.8915,0.8836
0.8844,0.8898,0.8917,0.8983,0.8746,0.8937,0.8903,0.8775,0.8888
0.8508,0.896,0.9059,0.8915,0.8868,0.8814,0.8794,0.8825,0.8788
0.8441,0.9002,0.9062,0.9065,0.8897,0.8968,0.8945,0.8815,0.8806
0.9151,0.9189,0.8847,0.8926,0.8839,0.8987,0.8935,0.8959,0.8848
0.8945,0.9106,0.8913,0.9004,0.8984,0.8996,0.8902,0.8942,0.8673
0.8657,0.9166,0.9127,0.9074,0.8945,0.8917,0.8873,0.8901,0.8767
0.8771,0.8702,0.9051,0.9012,0.8998,0.8936,0.8781,0.8932,0.8861
