k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.9073,0.919,0.9192,0.9174,0.9001,0.8994,0.8991,0.9062,0.8839
0.9152,0.9206,0.901,0.9105,0.8909,0.9003,0.8913,0.8922,0.8832
0.9132,0.9112,0.9044,0.8935,0.9043,0.8998,0.8905,0.8919,0.898
0.9173,0.908,0.9143,0.9064,0.8969,0.9064,0.903,0.898,0.8793
0.9068,0.9205,0.919,0.9111,0.9005,0.8868,0.8993,0.8975,0.8915
0.9206,0.9142,0.9026,0.9078,0.8964,0.9022,0.8901,0.9039,0.8974
0.9097,0.9079,0.9062,0.9085,0.8977,0.9047,0.8827,0.8905,0.8918
0.9116,0.9046,0.9145,0.9052,0.9119,0.8861,0.8935,0.9037,0.8847
0.9098,0.9105,0.9142,0.9127,0.8968,0.8944,0.8928,0.8964,0.8795
0.9218,0.909,0.9152,0.9002,0.8986,0.8972,0.8851,0.9013,0.8744
0.9154,0.9173,0.9098,0.9024,0.899,0.9005,0.897,0.8934,0.8864
0.9098,0.9118,0.9127,0.9025,0.9024,0.9016,0.8906,0.8955,0.8823
0.9157,0.9135,0.9062,0.905,0.905,0.8922,0.8923,0.8964,0.8898
0.9261,0.9128,0.9046,0.9098,0.8835,0.9082,0.9022,0.8999,0.8919
0.9097,0.9034,0.9156,0.8962,0.8948,0.9062,0.8931,0.8955,0.8788
0.9125,0.9098,0.9145,0.9041,0.8976,0.8885,0.8777,0.9016,0.8964
0.9114,0.9072,0.9131,0.9066,0.9013,0.8822,0.8913,0.8888,0.8871
0.9186,0.9093,0.9145,0.9073,0.8974,0.9022,0.9,0.9007,0.8932
0.9142,0.913,0.9143,0.9096,0.9013,0.902,0.9025,0.8919,0.8939
0.9155,0.9193,0.9056,0.902,0.9013,0.9063,0.8944,0.8876,0.8954
0.9119,0.9121,0.9132,0.91,0.898,0.9009,0.9035,0.9015,0.905
0.9137,0.924,0.9088,0.9085,0.9139,0.8878,0.8944,0.886,0.8925
0.9176,0.92,0.9083,0.9081,0.9015,0.8968,0.8922,0.8996,0.8797
0.917,0.9067,0.9013,0.9074,0.9005,0.8989,0.8847,0.8941,0.8814
0.9161,0.9264,0.9193,0.8974,0.8773,0.9044,0.9032,0.8988,0.8889
