k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.8659,0.8762,0.8459,0.8499,0.8387,0.8574,0.8441,0.8461,0.8242
0.8546,0.8672,0.863,0.8455,0.8537,0.846,0.828,0.8364,0.8283
0.7788,0.8727,0.8588,0.8486,0.8632,0.8534,0.8407,0.8365,0.8335
0.8503,0.8771,0.8698,0.8645,0.8485,0.8584,0.8365,0.8326,0.8276
0.8769,0.8739,0.8664,0.8645,0.8493,0.8572,0.8331,0.8329,0.8351
0.8777,0.8816,0.8573,0.863,0.8634,0.8451,0.8423,0.8237,0.8253
0.8617,0.8683,0.865,0.8576,0.836,0.8452,0.8364,0.8323,0.8282
0.8647,0.8803,0.8493,0.8682,0.8362,0.8447,0.8374,0.8392,0.8405
0.8771,0.8709,0.8646,0.8637,0.8542,0.8358,0.8411,0.8468,0.8277
0.8638,0.8709,0.8652,0.8593,0.8424,0.8549,0.8404,0.8327,0.8393
0.8532,0.8681,0.8676,0.8667,0.8397,0.8429,0.8255,0.8246,0.8351
0.8589,0.8729,0.86,0.852,0.8443,0.8546,0.8426,0.8408,0.8285
0.8739,0.8771,0.8657,0.8568,0.8395,0.8423,0.8422,0.8375,0.8314
0.8683,0.8776,0.8627,0.8552,0.8314,0.8553,0.8397,0.8375,0.8379
0.8663,0.879,0.8501,0.8584,0.8498,0.8483,0.8393,0.8465,0.8229
0.8679,0.8734,0.8653,0.8686,0.8328,0.8464,0.8417,0.8428,0.8422
0.8627,0.8704,0.8745,0.8572,0.8513,0.8344,0.8316,0.8283,0.8368
0.8447,0.8572,0.8612,0.8538,0.8532,0.8442,0.8287,0.8304,0.821
0.8478,0.8814,0.8607,0.8503,0.849,0.8528,0.8402,0.8377,0.8432
0.8519,0.8554,0.8708,0.8683,0.8464,0.8426,0.8249,0.8421,0.8436
0.8518,0.8619,0.8629,0.8485,0.8511,0.8452,0.832,0.8356,0.8335
0.8389,0.8805,0.873,0.8598,0.8631,0.853,0.8432,0.8267,0.8255
0.857,0.868,0.8558,0.858,0.8583,0.8553,0.8522,0.8429,0.8312
0.8657,0.8677,0.8686,0.8542,0.841,0.8336,0.8395,0.8447,0.8451
0.8588,0.8748,0.8609,0.8541,0.8597,0.838,0.8288,0.8413,0.8308
