k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.8102,0.8406,0.858,0.8507,0.8684,0.8612,0.8456,0.8709,0.8801
0.8144,0.8276,0.8683,0.8694,0.8597,0.8631,0.8831,0.8781,0.873
0.8138,0.8712,0.8875,0.8629,0.8542,0.8697,0.8812,0.8534,0.8783
0.8308,0.8703,0.8627,0.8739,0.87,0.8654,0.8593,0.8742,0.8692
0.8164,0.8652,0.8832,0.8789,0.8764,0.8705,0.8827,0.8704,0.8821
0.8451,0.8581,0.883,0.8691,0.8714,0.8734,0.8736,0.8752,0.8782
0.8453,0.8555,0.8705,0.8675,0.8747,0.8731,0.8659,0.8867,0.87
0.8633,0.8657,0.8748,0.8912,0.8596,0.8671,0.8552,0.8774,0.8801
0.8118,0.8717,0.8746,0.883,0.8546,0.873,0.8676,0.8831,0.8648
0.8283,0.864,0.871,0.8865,0.8754,0.8758,0.8473,0.8803,0.8626
0.8163,0.8663,0.8691,0.881,0.8559,0.8912,0.8578,0.8592,0.8754
0.8367,0.8575,0.8875,0.8408,0.877,0.8672,0.8643,0.8773,0.8619
0.7927,0.8552,0.865,0.8643,0.8666,0.872,0.847,0.8679,0.8727
0.8464,0.8729,0.8658,0.881,0.8657,0.8757,0.8539,0.8657,0.8688
0.8019,0.8638,0.8697,0.8878,0.8659,0.8779,0.8671,0.8888,0.8795
0.809,0.8608,0.8469,0.8903,0.861,0.8883,0.8805,0.8661,0.8775
0.8186,0.8621,0.8875,0.8587,0.8763,0.8797,0.8705,0.8723,0.8761
0.8341,0.8659,0.87,0.8797,0.8439,0.8607,0.8687,0.8573,0.8741
0.8405,0.8408,0.8625,0.854,0.8571,0.8644,0.8644,0.8764,0.8741
0.8109,0.8453,0.852,0.8795,0.8648,0.8778,0.8723,0.8881,0.8589
0.8236,0.8554,0.853,0.8744,0.8776,0.8546,0.8828,0.8506,0.8567
0.8288,0.8513,0.8593,0.8821,0.8684,0.8908,0.8574,0.8541,0.872
0.807,0.8537,0.8873,0.8752,0.8598,0.8687,0.8745,0.8735,0.8765
0.8443,0.8597,0.8598,0.8713,0.8793,0.8722,0.8804,0.8694,0.8661
0.8394,0.8423,0.859,0.883,0.8818,0.8744,0.8733,0.8655,0.8667
