k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.8234,0.8748,0.8759,0.8598,0.8543,0.8705,0.8329,0.8466,0.8535
0.8584,0.8462,0.8747,0.8709,0.8638,0.8629,0.8458,0.8617,0.8543
0.8719,0.8779,0.8723,0.8667,0.8568,0.8692,0.8377,0.8545,0.8473
0.8462,0.8675,0.8753,0.8643,0.8614,0.872,0.8471,0.8541,0.8532
0.8285,0.8733,0.868,0.8652,0.8593,0.8542,0.8578,0.8508,0.8388
0.8319,0.8782,0.8646,0.8528,0.875,0.8664,0.8471,0.8651,0.8489
0.8147,0.8683,0.875,0.8645,0.8517,0.8513,0.8507,0.8526,0.8475
0.8333,0.8654,0.8779,0.8733,0.8598,0.8464,0.8413,0.844,0.8401
0.8685,0.8757,0.8647,0.859,0.8626,0.8607,0.8519,0.8318,0.8563
0.831,0.876,0.8793,0.8672,0.8688,0.8336,0.8462,0.8618,0.8597
0.8323,0.8704,0.8828,0.8603,0.8428,0.8606,0.8441,0.851,0.8532
0.8736,0.875,0.8691,0.8788,0.846,0.8647,0.8489,0.8626,0.8591
0.8612,0.8796,0.8761,0.8767,0.8529,0.85,0.8247,0.8642,0.8559
0.8522,0.8756,0.8745,0.8556,0.8621,0.8492,0.8384,0.852,0.849
0.8223,0.8828,0.8587,0.8711,0.8328,0.8491,0.8224,0.8571,0.8571
0.849,0.8925,0.8753,0.8683,0.8709,0.8658,0.8466,0.8637,0.8657
0.854,0.877,0.8725,0.8735,0.8593,0.8515,0.8416,0.8364,0.8518
0.8811,0.8717,0.8703,0.8734,0.8466,0.8629,0.8436,0.8508,0.853
0.8565,0.882,0.8768,0.8551,0.8452,0.8507,0.8415,0.8595,0.8301
0.8554,0.8746,0.8735,0.8692,0.8695,0.8559,0.8631,0.8482,0.8634
0.8125,0.8709,0.8649,0.8606,0.8674,0.8553,0.8508,0.8639,0.8521
0.8628,0.8815,0.8768,0.8569,0.855,0.8494,0.8571,0.8568,0.8418
0.8496,0.8771,0.883,0.8731,0.8606,0.8677,0.8335,0.8472,0.8355
0.8607,0.8778,0.8777,0.8629,0.8701,0.8673,0.8508,0.836,0.8652
0.8048,0.854,0.8769,0.8606,0.8609,0.8626,0.8481,0.8542,0.8383
