k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.9213,0.9138,0.9068,0.9136,0.8993,0.8987,0.8804,0.8896,0.8859
0.9108,0.9108,0.908,0.9116,0.8946,0.9037,0.9003,0.8937,0.8869
0.9121,0.9107,0.9202,0.9119,0.8867,0.9069,0.8869,0.8838,0.8858
0.9103,0.9141,0.91,0.9189,0.9023,0.8981,0.8945,0.905,0.8783
0.9161,0.9061,0.9148,0.9066,0.8931,0.9023,0.8914,0.8875,0.8886
0.9053,0.9126,0.903,0.9138,0.8968,0.9088,0.8903,0.9003,0.8929
0.9105,0.8987,0.9111,0.9078,0.8958,0.8971,0.8895,0.8936,0.9056
0.9176,0.9131,0.912,0.9079,0.898,0.9045,0.893,0.8998,0.8894
0.9071,0.9088,0.9052,0.9181,0.8911,0.9136,0.8739,0.8979,0.8877
0.9063,0.9138,0.9131,0.9101,0.8984,0.8907,0.9003,0.8983,0.8881
0.9158,0.8908,0.9257,0.9046,0.902,0.9143,0.8961,0.8892,0.8779
0.9101,0.9109,0.9078,0.8983,0.8873,0.8952,0.8884,0.9038,0.8837
0.9036,0.9057,0.9085,0.9048,0.9009,0.9033,0.8817,0.8982,0.8863
0.9123,0.9204,0.9152,0.9085,0.898,0.9026,0.8928,0.8979,0.8993
0.9108,0.9165,0.9147,0.903,0.9016,0.9008,0.8945,0.8973,0.8954
0.9075,0.9109,0.905,0.9048,0.8977,0.9025,0.8997,0.8959,0.8913
0.9171,0.9111,0.8992,0.8928,0.9054,0.9061,0.8834,0.8962,0.8775
0.9041,0.8996,0.9123,0.9066,0.8985,0.8946,0.8926,0.8946,0.8889
0.902,0.9043,0.8984,0.9008,0.9027,0.8934,0.8935,0.8918,0.895
0.9119,0.9157,0.911,0.9215,0.8901,0.9013,0.8892,0.8981,0.8861
0.9179,0.9146,0.9031,0.9169,0.9046,0.8985,0.9024,0.9007,0.8829
0.9171,0.9144,0.9102,0.914,0.9026,0.8951,0.8889,0.8926,0.8905
0.9094,0.9011,0.9135,0.9136,0.8892,0.8993,0.9009,0.8932,0.8748
0.9146,0.9079,0.9211,0.9044,0.897,0.9001,0.8994,0.9095,0.8964
0.9157,0.9041,0.9038,0.904,0.9,0.8972,0.8879,0.9101,0.8784
