k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.7471,0.7694,0.8139,0.8245,0.7985,0.8458,0.8237,0.816,0.8384
0.7351,0.7446,0.7724,0.8013,0.8266,0.8158,0.8228,0.8178,0.8321
0.7307,0.7859,0.7832,0.8084,0.8048,0.7967,0.8537,0.8111,0.8232
0.7379,0.7622,0.7786,0.8193,0.812,0.8165,0.8188,0.8449,0.8477
0.7224,0.7379,0.747,0.7866,0.8064,0.8436,0.8046,0.8427,0.8469
0.7686,0.7494,0.8058,0.8178,0.8302,0.8027,0.8429,0.8227,0.8412
0.7512,0.7409,0.7739,0.8218,0.8283,0.8449,0.8329,0.8386,0.838
0.759,0.7492,0.7328,0.8463,0.7915,0.8326,0.8233,0.8138,0.8121
0.7441,0.7429,0.789,0.8158,0.8167,0.8185,0.8204,0.8518,0.8528
0.7752,0.7729,0.8271,0.8204,0.8462,0.8334,0.8143,0.8339,0.8462
0.7386,0.7933,0.7777,0.8215,0.8062,0.839,0.8406,0.8377,0.8247
0.7338,0.7404,0.7919,0.8346,0.8227,0.8316,0.8285,0.8309,0.8337
0.741,0.7283,0.7933,0.8063,0.796,0.8089,0.8384,0.8339,0.8424
0.7072,0.7398,0.7926,0.8197,0.8102,0.8468,0.8341,0.8145,0.8336
0.7467,0.7392,0.7926,0.8123,0.8319,0.8427,0.8071,0.8365,0.8371
0.7274,0.7327,0.7928,0.7739,0.8044,0.8124,0.8436,0.8324,0.8414
0.6854,0.7682,0.8035,0.8002,0.8168,0.8273,0.8244,0.841,0.8347
0.7367,0.7331,0.8334,0.8241,0.8192,0.8358,0.8336,0.8045,0.8071
0.7451,0.713,0.8178,0.8263,0.8278,0.8351,0.8126,0.8306,0.8131
0.7256,0.7399,0.7329,0.7994,0.8194,0.8233,0.8392,0.8422,0.832
0.7268,0.7533,0.8363,0.8076,0.8072,0.8326,0.8284,0.8566,0.8426
0.7295,0.7341,0.8207,0.7906,0.825,0.8303,0.7784,0.816,0.8301
0.6892,0.7288,0.7806,0.8199,0.8023,0.8108,0.8392,0.8138,0.8478
0.7285,0.7778,0.7959,0.8099,0.8033,0.8442,0.816,0.8424,0.8117
0.7466,0.7722,0.8214,0.8036,0.8246,0.8215,0.8432,0.8279,0.834
