k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.9338,0.9167,0.912,0.9062,0.9066,0.8903,0.8887,0.8888,0.8747
0.9235,0.9197,0.9083,0.9056,0.9083,0.9001,0.889,0.8947,0.8843
0.9287,0.9166,0.9052,0.9087,0.8971,0.8994,0.8919,0.8809,0.8724
0.9119,0.9163,0.9124,0.8933,0.8968,0.9022,0.8891,0.896,0.8878
0.9303,0.9033,0.909,0.9144,0.8949,0.8957,0.8928,0.8955,0.8867
0.9287,0.9093,0.9034,0.9133,0.9047,0.9014,0.8992,0.8913,0.8858
0.9248,0.9028,0.9062,0.8977,0.9001,0.889,0.8765,0.8905,0.8847
0.9337,0.9132,0.9149,0.8999,0.89,0.8902,0.8887,0.8875,0.8813
0.9281,0.9211,0.9164,0.8999,0.8737,0.8779,0.8793,0.8746,0.8886
0.93,0.9094,0.9146,0.8971,0.8953,0.8767,0.8899,0.8884,0.8843
0.9263,0.9113,0.9268,0.9047,0.8956,0.8891,0.8834,0.8773,0.8868
0.9228,0.9079,0.9142,0.9104,0.8815,0.8851,0.8906,0.8934,0.8916
0.933,0.9107,0.915,0.9034,0.8881,0.899,0.8705,0.8819,0.8813
0.9305,0.925,0.9109,0.8981,0.9022,0.8772,0.8782,0.8983,0.887
0.9287,0.9154,0.9181,0.8988,0.8949,0.885,0.8896,0.893,0.882
0.9298,0.9183,0.9129,0.9009,0.8814,0.8896,0.8696,0.876,0.8869
0.9234,0.9176,0.9135,0.9032,0.8844,0.9013,0.8767,0.8818,0.8905
0.9179,0.915,0.9119,0.9088,0.9014,0.8863,0.8859,0.8874,0.8884
0.9224,0.9168,0.9066,0.8931,0.8883,0.8722,0.8878,0.8864,0.8723
0.9309,0.9213,0.9167,0.9093,0.8804,0.8974,0.8943,0.8834,0.8663
0.9221,0.912,0.9089,0.914,0.9057,0.8939,0.8964,0.8874,0.8788
0.9261,0.919,0.9044,0.8965,0.8891,0.903,0.8743,0.8903,0.8668
0.9235,0.9224,0.915,0.9069,0.8923,0.8791,0.8821,0.8911,0.8788
0.9336,0.9084,0.9115,0.9006,0.9056,0.8886,0.8791,0.8888,0.8707
0.9274,0.9148,0.9221,0.9018,0.8999,0.8981,0.8867,0.88,0.8725
