k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.119,0.1172,0.1245,0.1133,0.1041,0.1739,0.1454,0.1254,0.1236
0.1198,0.1149,0.1237,0.1456,0.098,0.1467,0.1728,0.1222,0.1742
0.1127,0.1224,0.1417,0.1267,0.1148,0.138,0.142,0.1537,0.098
0.1396,0.114,0.1328,0.115,0.1919,0.1139,0.1559,0.1054,0.1338
0.1135,0.1407,0.1278,0.1608,0.1101,0.1216,0.1403,0.1283,0.1179
0.1136,0.1137,0.118,0.1251,0.1406,0.1504,0.1163,0.1243,0.1253
0.114,0.1146,0.1228,0.1242,0.1488,0.126,0.1184,0.1266,0.1338
0.1406,0.1181,0.1184,0.1597,0.1119,0.1304,0.111,0.1484,0.098
0.1207,0.1154,0.1138,0.1139,0.1524,0.1377,0.1427,0.1705,0.116
0.125,0.114,0.1146,0.1171,0.098,0.108,0.1253,0.1231,0.1133
0.1151,0.1138,0.1149,0.1157,0.1469,0.1235,0.1444,0.1373,0.1521
0.1331,0.1438,0.114,0.1461,0.1533,0.1141,0.1201,0.1173,0.1575
0.1152,0.1249,0.1159,0.1152,0.098,0.1257,0.1414,0.1482,0.1622
0.1094,0.1162,0.1225,0.1885,0.158,0.1362,0.1659,0.131,0.1329
0.1236,0.1414,0.1077,0.1131,0.098,0.1265,0.1267,0.1283,0.1151
0.1135,0.1143,0.1183,0.128,0.098,0.1358,0.1263,0.1169,0.1181
0.1153,0.1279,0.1086,0.1498,0.098,0.1361,0.1199,0.1281,0.1231
0.1141,0.1176,0.1159,0.1287,0.098,0.1243,0.1312,0.1528,0.1155
0.1232,0.1141,0.1255,0.1137,0.123,0.1224,0.1162,0.1809,0.1453
0.1138,0.1163,0.1181,0.114,0.098,0.1476,0.1299,0.1672,0.1262
0.1142,0.1084,0.1208,0.1357,0.098,0.1161,0.1155,0.1172,0.1747
0.1148,0.1156,0.1256,0.1214,0.098,0.1152,0.1283,0.1494,0.1298
0.1146,0.1151,0.1278,0.1141,0.1127,0.1181,0.1459,0.1126,0.1388
0.1258,0.1212,0.114,0.1155,0.1271,0.1252,0.1462,0.1161,0.1103
0.1156,0.1588,0.1154,0.1146,0.1293,0.1263,0.1107,0.1218,0.184
