k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.8235,0.8649,0.8631,0.8706,0.8676,0.8618,0.8487,0.8537,0.8574
0.8509,0.8601,0.8646,0.8705,0.8285,0.8661,0.8641,0.8644,0.8663
0.8418,0.8712,0.872,0.8673,0.8537,0.8639,0.853,0.8655,0.8297
0.8479,0.8782,0.8315,0.8726,0.8755,0.8803,0.8348,0.8407,0.8639
0.8498,0.8782,0.8656,0.8729,0.8512,0.8501,0.835,0.8502,0.8517
0.8029,0.853,0.8787,0.8665,0.8634,0.8544,0.8572,0.8552,0.8624
0.8182,0.8534,0.8586,0.8601,0.863,0.8668,0.8497,0.8735,0.8624
0.8225,0.8538,0.8717,0.8778,0.8528,0.8723,0.8605,0.8589,0.8687
0.8093,0.8806,0.8806,0.8655,0.8774,0.8695,0.8576,0.8471,0.861
0.7848,0.8803,0.8867,0.8719,0.8596,0.8731,0.867,0.8563,0.8571
0.8014,0.8787,0.8697,0.8598,0.8548,0.8653,0.8599,0.869,0.8467
0.8642,0.8683,0.8869,0.8631,0.8689,0.8679,0.8501,0.8595,0.8513
0.844,0.8791,0.8783,0.8684,0.8502,0.8647,0.8666,0.8489,0.8479
0.848,0.8711,0.8816,0.8682,0.8558,0.8642,0.8538,0.8489,0.8587
0.8328,0.8798,0.8658,0.8647,0.8318,0.8602,0.8622,0.8665,0.8469
0.8446,0.8741,0.8547,0.8661,0.8388,0.8617,0.8498,0.8665,0.8399
0.8684,0.8798,0.8754,0.8681,0.8594,0.8609,0.8642,0.8574,0.8515
0.8559,0.8797,0.8427,0.8608,0.8589,0.8645,0.8617,0.857,0.869
0.8514,0.8754,0.8724,0.869,0.8647,0.8653,0.8654,0.8675,0.8433
0.8343,0.8765,0.8842,0.8531,0.8314,0.8545,0.8533,0.8675,0.8633
0.8484,0.8861,0.8713,0.8687,0.8625,0.8721,0.8508,0.8568,0.8652
0.8303,0.8695,0.869,0.8782,0.8486,0.8637,0.8437,0.8481,0.8608
0.8212,0.87,0.8701,0.869,0.8583,0.8509,0.8505,0.8598,0.8509
0.8491,0.8731,0.8592,0.8781,0.8703,0.8718,0.8354,0.8562,0.8598
0.7797,0.8639,0.8659,0.875,0.8457,0.863,0.8518,0.8557,0.8649
