k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.8209,0.8555,0.8678,0.8665,0.8791,0.8705,0.8609,0.8706,0.8605
0.8139,0.8603,0.8664,0.8806,0.8818,0.8877,0.8679,0.867,0.8751
0.8431,0.8641,0.8815,0.8841,0.887,0.8727,0.8691,0.8631,0.8722
0.8297,0.8537,0.8673,0.8899,0.8615,0.8717,0.8777,0.8678,0.8568
0.8357,0.8547,0.8789,0.8726,0.8414,0.8779,0.8705,0.8843,0.888
0.8315,0.8552,0.8726,0.8851,0.8771,0.8685,0.855,0.8722,0.8589
0.8306,0.8596,0.859,0.8666,0.8637,0.8661,0.8629,0.8474,0.8662
0.8364,0.86,0.8663,0.8693,0.8654,0.8628,0.8919,0.8604,0.8522
0.8229,0.8656,0.8701,0.8746,0.8546,0.8646,0.892,0.863,0.8722
0.8448,0.8674,0.8652,0.8871,0.8835,0.8703,0.8639,0.8711,0.8779
0.8205,0.8522,0.8798,0.8701,0.8751,0.8515,0.8771,0.8677,0.8587
0.843,0.8471,0.8777,0.8765,0.8612,0.8661,0.8704,0.8724,0.8667
0.8123,0.8597,0.878,0.8931,0.8638,0.8742,0.875,0.8773,0.8733
0.8262,0.8579,0.8867,0.8783,0.8777,0.8755,0.8713,0.8772,0.8716
0.8319,0.8721,0.859,0.8632,0.8513,0.8754,0.8563,0.881,0.8654
0.803,0.8589,0.8495,0.8844,0.8789,0.8732,0.868,0.8675,0.875
0.8449,0.8547,0.8747,0.8644,0.8602,0.8857,0.8604,0.8811,0.8767
0.8381,0.8513,0.8687,0.8641,0.8912,0.8704,0.8529,0.8742,0.8699
0.8354,0.8664,0.8811,0.8768,0.8566,0.8654,0.8698,0.8855,0.8633
0.8224,0.8522,0.8534,0.8928,0.8667,0.8779,0.8524,0.8758,0.8751
0.8274,0.8676,0.875,0.8513,0.8578,0.882,0.8732,0.883,0.879
0.839,0.8718,0.853,0.8559,0.8832,0.8698,0.8555,0.8742,0.8723
0.8169,0.8629,0.8768,0.874,0.8694,0.8733,0.8439,0.8575,0.8626
0.8215,0.8762,0.8789,0.8771,0.8763,0.8754,0.8546,0.8839,0.876
0.8408,0.8527,0.8689,0.8829,0.8712,0.869,0.8704,0.8802,0.8694
