k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.1755,0.1759,0.215,0.2572,0.2187,0.2538,0.2546,0.3405,0.2285
0.1897,0.1878,0.2745,0.1949,0.2492,0.2547,0.2776,0.2732,0.2952
0.1575,0.1813,0.1921,0.2269,0.2331,0.2602,0.3261,0.3054,0.3514
0.1892,0.1719,0.2317,0.189,0.2701,0.2261,0.2311,0.3221,0.2945
0.1285,0.1619,0.2755,0.1928,0.1787,0.235,0.2856,0.2743,0.2746
0.153,0.1678,0.2281,0.2101,0.3283,0.2359,0.1797,0.3508,0.3654
0.1443,0.1613,0.2362,0.1875,0.2557,0.2332,0.2471,0.2831,0.3166
0.1443,0.1871,0.1662,0.2261,0.313,0.2503,0.2689,0.2471,0.2433
0.1468,0.1699,0.1861,0.2142,0.294,0.2703,0.2635,0.3406,0.3857
0.1709,0.209,0.1858,0.2685,0.2818,0.262,0.342,0.2827,0.2735
0.1619,0.168,0.2218,0.2867,0.332,0.2011,0.3035,0.3361,0.2625
0.1345,0.1814,0.2354,0.283,0.2901,0.2789,0.2282,0.2247,0.3581
0.1613,0.168,0.1914,0.2807,0.2346,0.2633,0.2308,0.2793,0.3403
0.169,0.1365,0.1821,0.2281,0.2541,0.1971,0.2952,0.3861,0.278
0.1483,0.1543,0.1525,0.2086,0.2352,0.3598,0.2503,0.2851,0.3186
0.1538,0.1775,0.1807,0.2175,0.243,0.186,0.2184,0.2494,0.3029
0.1573,0.2039,0.2247,0.191,0.3202,0.23,0.2571,0.2692,0.298
0.1608,0.2203,0.179,0.2523,0.2607,0.2813,0.3015,0.2525,0.2734
0.1884,0.1617,0.179,0.2199,0.2453,0.2326,0.2254,0.2896,0.2802
0.1382,0.207,0.191,0.1995,0.2483,0.2575,0.2126,0.2586,0.3408
0.1573,0.1477,0.2041,0.22,0.2039,0.1841,0.243,0.232,0.3287
0.1563,0.2093,0.2113,0.2498,0.2651,0.2026,0.2882,0.2795,0.2663
0.1891,0.206,0.234,0.1728,0.2524,0.2229,0.2993,0.3169,0.3017
0.1738,0.156,0.201,0.223,0.2752,0.2004,0.3231,0.2814,0.3088
0.1488,0.1848,0.2419,0.2532,0.2049,0.3191,0.2595,0.365,0.4103
