lr_0.0001_model_Linear,lr_0.0001_model_FF_L1,lr_0.0001_model_FF_L2,lr_0.001_model_Linear,lr_0.001_model_FF_L1,lr_0.001_model_FF_L2,lr_0.01_model_Linear,lr_0.01_model_FF_L1,lr_0.01_model_FF_L2,lr_0.1_model_Linear,lr_0.1_model_FF_L1,lr_0.1_model_FF_L2
0.6826693227091634,0.6240371845949535,0.7469455511288181,0.6670650730411687,0.749003984063745,0.752921646746348,0.7691235059760956,0.7547808764940239,0.7543160690571049,0.8302788844621514,0.7543160690571049,0.7543160690571049
0.5315405046480743,0.6201859229747676,0.7265604249667995,0.7284196547144755,0.750929614873838,0.7544488711819389,0.7822045152722443,0.7573041168658698,0.7543160690571049,0.8359229747675962,0.7543160690571049,0.7543160690571049
0.3861885790172643,0.6393094289508632,0.7,0.6602257636122177,0.749667994687915,0.751195219123506,0.7725099601593626,0.7538512616201859,0.7535192563081009,0.8298140770252324,0.7543824701195219,0.7543160690571049
0.6809428950863213,0.6456839309428951,0.554316069057105,0.6354581673306773,0.7423638778220452,0.7360557768924303,0.7782204515272244,0.7737051792828685,0.7543160690571049,0.8290172642762285,0.7543160690571049,0.7543160690571049
0.5425630810092962,0.7096945551128818,0.750132802124834,0.6386454183266932,0.7317397078353254,0.6599601593625498,0.7861221779548473,0.7543160690571049,0.7541832669322709,0.8338645418326693,0.7543160690571049,0.7543160690571049
0.5938247011952191,0.6373173970783532,0.5839973439575034,0.6346613545816733,0.7353917662682603,0.753253652058433,0.7784196547144754,0.7725763612217795,0.7543160690571049,0.8347941567065073,0.7543824701195219,0.7543160690571049
0.6103585657370518,0.6741035856573705,0.6685922974767596,0.6980743691899071,0.7261620185922975,0.7486055776892431,0.7790172642762284,0.7598937583001328,0.7533864541832669,0.8335989375830013,0.7541832669322709,0.7541832669322709
0.550996015936255,0.7233731739707835,0.5264940239043825,0.6284860557768924,0.7641434262948207,0.7543160690571049,0.7723107569721116,0.754249667994688,0.7543160690571049,0.8326693227091634,0.7583665338645418,0.7520584329349269
0.7323373173970783,0.7543160690571049,0.5558432934926959,0.7120849933598937,0.7387782204515272,0.7392430278884462,0.751925630810093,0.7535192563081009,0.754249667994688,0.8326029216467463,0.7543160690571049,0.7543160690571049
0.3901726427622842,0.7241035856573705,0.7580345285524568,0.6384462151394422,0.7339973439575033,0.7543160690571049,0.7482735723771581,0.7543160690571049,0.7543160690571049,0.8328685258964144,0.7543160690571049,0.754249667994688
0.5563745019920319,0.6733731739707836,0.6792164674634794,0.6049800796812749,0.75132802124834,0.7629482071713147,0.7688579017264277,0.7617529880478088,0.7543160690571049,0.8332005312084994,0.7543160690571049,0.7543160690571049
0.6165338645418327,0.6059096945551129,0.7452191235059761,0.6227755644090306,0.7378486055776893,0.7543160690571049,0.7407038512616202,0.7538512616201859,0.7543160690571049,0.8303452855245684,0.7535192563081009,0.7543160690571049
0.5241035856573705,0.5807436918990704,0.7510624169986719,0.6708499335989376,0.7195219123505976,0.7550464807436919,0.7575033200531208,0.7543160690571049,0.753253652058433,0.8306772908366534,0.7543160690571049,0.7543160690571049
0.5306108897742364,0.4888446215139442,0.7541168658698539,0.5855245683930943,0.754249667994688,0.7376494023904383,0.7699867197875166,0.7598937583001328,0.7541832669322709,0.8333333333333334,0.754249667994688,0.7543824701195219
0.6912350597609562,0.4860557768924303,0.6729747675962815,0.5877158034528552,0.7146082337317398,0.7543160690571049,0.7685922974767596,0.753253652058433,0.7537848605577689,0.8304116865869854,0.7543160690571049,0.7543160690571049
0.5648074369189907,0.5709827357237716,0.6851925630810093,0.6898406374501992,0.7543160690571049,0.7543160690571049,0.7713147410358566,0.752324037184595,0.7543160690571049,0.8343957503320053,0.7544488711819389,0.7541832669322709
0.46248339973439573,0.5911686586985392,0.7146746347941567,0.5883134130146083,0.748539176626826,0.7518592297476759,0.7703851261620186,0.7685258964143427,0.750398406374502,0.8332005312084994,0.7543160690571049,0.7543160690571049
0.546945551128818,0.6732403718459495,0.7074369189907038,0.5953519256308101,0.7549136786188579,0.7543160690571049,0.751593625498008,0.7543160690571049,0.7541832669322709,0.8321381142098273,0.7543160690571049,0.7543160690571049
0.5285524568393094,0.7543160690571049,0.7328021248339973,0.6705179282868526,0.7543160690571049,0.7521912350597609,0.7701859229747676,0.7687250996015936,0.7573705179282868,0.8312749003984063,0.7543160690571049,0.7543160690571049
0.69535192563081,0.7114873837981408,0.749468791500664,0.702257636122178,0.7543160690571049,0.7527224435590969,0.7829349269588314,0.7412350597609562,0.7541832669322709,0.8281540504648074,0.7543160690571049,0.7543160690571049
0.5832005312084994,0.7149402390438248,0.7239043824701196,0.602390438247012,0.7385790172642762,0.7543160690571049,0.7697875166002656,0.7650730411686587,0.7543160690571049,0.8300132802124834,0.7543824701195219,0.7543824701195219
0.6725763612217796,0.6542496679946879,0.7356573705179282,0.6421646746347942,0.6875166002656042,0.7592961487383798,0.7594289508632138,0.7543160690571049,0.750531208499336,0.8353253652058433,0.7543160690571049,0.7543160690571049
0.3106905710491368,0.7124833997343958,0.6967463479415671,0.6225099601593626,0.7341965471447544,0.7543160690571049,0.7871181938911023,0.7608897742363878,0.754249667994688,0.8305444887118194,0.7543160690571049,0.7543160690571049
0.4262948207171315,0.6711155378486056,0.747875166002656,0.6960823373173971,0.750066401062417,0.7543160690571049,0.7790172642762284,0.7521912350597609,0.7543160690571049,0.8362549800796812,0.754249667994688,0.7543160690571049
0.5592297476759628,0.6432270916334661,0.6790836653386454,0.7150066401062417,0.7365869853917663,0.750199203187251,0.7691899070385126,0.7527224435590969,0.7543160690571049,0.8318725099601594,0.7543160690571049,0.754249667994688
