,1,2,4,5,10
count,100.0,100.0,100.0,100.0,100.0
mean,0.30559752317183664,0.07551749922072766,0.09325204531082874,0.0988703713307859,0.1913555007145876
std,2.2242252065267265,0.02032363986299353,0.016857028974446978,0.015308695002367246,0.020046558559147894
min,0.025955257150522885,0.009097844538199229,0.04354101005867264,0.06018616959921631,0.12826281872671202
25%,0.05672601275440195,0.06320113177989842,0.08303129570725681,0.0881338560114885,0.1799227910949014
50%,0.07887373228005823,0.07807539676067328,0.0972383229547763,0.1002542006798348,0.1950984409462041
75%,0.10616342691819448,0.08896049774583456,0.10428941742083869,0.10946903833326585,0.20415268228805128
max,22.32213269316872,0.12834130091505416,0.12058807376952971,0.13596056765080647,0.22845482200830391
