,iqr,w_0,w_1
0,128.74300830069916,0.8505219181874999,0.8932380800768934
1,129.30804852704318,1.0577454731257128,1.0502676583648225
2,133.41948110092284,1.072376725363345,0.8852924829466096
3,130.84326045564148,-0.8136778729892352,0.7626083115733052
4,132.67581967722327,-0.07859768714579157,0.25262768565693117
5,128.28267850285235,-0.05055183560567114,-0.18864424889553033
6,137.21095021510567,-0.23912998466936713,-0.27435510079156217
7,129.98271437418668,0.4533227692316647,0.03432571634891229
8,134.38894393954885,2.122396618513368,3.3271781922575268
9,126.55313909408918,-0.4394624654306207,0.12932101662931816
