k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.8007,0.7859,0.7627,0.7794,0.7798,0.755,0.7332,0.7231,0.7452
0.8137,0.784,0.7601,0.7878,0.7709,0.7551,0.7664,0.7408,0.7125
0.8026,0.7933,0.7941,0.7816,0.7627,0.7666,0.7546,0.7569,0.7546
0.7933,0.7742,0.7524,0.7808,0.7717,0.7567,0.7311,0.759,0.7432
0.821,0.7809,0.7767,0.7798,0.7688,0.7647,0.7337,0.7477,0.7017
0.802,0.7849,0.77,0.7587,0.7702,0.772,0.7502,0.7392,0.7588
0.8045,0.7949,0.7708,0.7664,0.7725,0.7619,0.7568,0.7633,0.742
0.8159,0.7641,0.7826,0.7774,0.7723,0.7695,0.7428,0.7276,0.736
0.803,0.8001,0.7673,0.7768,0.7843,0.7582,0.7518,0.748,0.7412
0.8056,0.7887,0.7762,0.7829,0.7471,0.7435,0.7448,0.7283,0.7486
0.7891,0.755,0.7753,0.7683,0.7632,0.7549,0.7263,0.7627,0.7376
0.8085,0.8017,0.7688,0.7694,0.7834,0.7672,0.7541,0.7497,0.7324
0.7937,0.7896,0.7795,0.7732,0.7688,0.7626,0.714,0.7591,0.7178
0.7839,0.8024,0.7786,0.7644,0.7755,0.7438,0.7608,0.7442,0.7294
0.7723,0.7791,0.7606,0.7808,0.7646,0.7601,0.7367,0.7602,0.7579
0.809,0.7849,0.769,0.7782,0.7622,0.7633,0.7401,0.7508,0.7568
0.798,0.7924,0.7835,0.7816,0.7539,0.7392,0.7508,0.7612,0.7561
0.7766,0.7773,0.7615,0.7869,0.748,0.7728,0.7699,0.7357,0.7205
0.8113,0.769,0.7618,0.7567,0.7664,0.765,0.7572,0.7547,0.7527
0.7806,0.7928,0.7785,0.7646,0.7507,0.7429,0.7532,0.7385,0.7504
0.8026,0.7778,0.7562,0.7789,0.7385,0.7597,0.7399,0.7504,0.7154
0.7905,0.7716,0.7632,0.7446,0.7467,0.7572,0.7513,0.7518,0.7385
0.8139,0.7897,0.7795,0.7961,0.7628,0.7572,0.7612,0.7546,0.7382
0.7926,0.7788,0.7754,0.7768,0.7761,0.7674,0.7333,0.721,0.7522
0.8131,0.8029,0.7685,0.762,0.7818,0.7531,0.7496,0.7532,0.7278
