k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.7774,0.7682,0.7554,0.7493,0.748,0.735,0.7154,0.7349,0.6902
0.7713,0.7761,0.766,0.7374,0.7517,0.7322,0.7111,0.7165,0.6969
0.7814,0.7791,0.7335,0.7507,0.7465,0.7218,0.7222,0.7183,0.687
0.794,0.7822,0.7618,0.7391,0.7399,0.7299,0.7258,0.7106,0.709
0.7926,0.7838,0.7508,0.7464,0.7442,0.7347,0.7037,0.697,0.707
0.7843,0.7436,0.7456,0.7623,0.7335,0.7168,0.707,0.7109,0.6912
0.7987,0.7854,0.7558,0.7504,0.7402,0.7316,0.7015,0.7105,0.7098
0.7888,0.7765,0.758,0.7527,0.7465,0.7325,0.6919,0.7133,0.6978
0.7972,0.7818,0.7238,0.7513,0.7333,0.7331,0.7149,0.7111,0.7128
0.7913,0.7753,0.759,0.7506,0.7352,0.715,0.7079,0.7067,0.7038
0.7779,0.7868,0.7549,0.7435,0.7437,0.7356,0.7093,0.7088,0.7185
0.7596,0.7898,0.7308,0.7427,0.7532,0.7334,0.7206,0.7019,0.7135
0.8012,0.7723,0.7579,0.7551,0.7263,0.7469,0.7014,0.7079,0.7118
0.787,0.7815,0.7234,0.7488,0.7362,0.7242,0.7243,0.6999,0.7007
0.7763,0.7809,0.739,0.7405,0.7247,0.7338,0.7243,0.715,0.7139
0.7858,0.7691,0.7447,0.7239,0.7335,0.7375,0.7181,0.7212,0.6887
0.7975,0.7713,0.7444,0.7287,0.7233,0.7318,0.7142,0.7213,0.7021
0.804,0.7664,0.7527,0.7557,0.7367,0.7332,0.7284,0.7061,0.7045
0.7422,0.7862,0.751,0.7468,0.7336,0.7281,0.6962,0.7093,0.7189
0.7811,0.7751,0.7575,0.7497,0.7475,0.7364,0.7248,0.7287,0.6847
0.7885,0.7774,0.7593,0.7592,0.7403,0.7337,0.729,0.7205,0.7096
0.7692,0.7888,0.7529,0.7464,0.7354,0.7216,0.718,0.6879,0.7121
0.7926,0.7856,0.7756,0.7474,0.7309,0.7108,0.7057,0.7283,0.701
0.7929,0.7532,0.7583,0.7526,0.7145,0.7272,0.6948,0.7308,0.705
0.7555,0.7736,0.7661,0.7344,0.7282,0.7221,0.7172,0.7193,0.6772
