k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.2359,0.4164,0.4866,0.5474,0.6001,0.6271,0.5735,0.634,0.648
0.5987,0.3984,0.3874,0.522,0.5929,0.6069,0.5961,0.7137,0.6623
0.332,0.4384,0.5524,0.6232,0.6062,0.5232,0.6062,0.6967,0.6663
0.2654,0.3748,0.3857,0.5456,0.5518,0.571,0.5698,0.5974,0.6819
0.2583,0.3895,0.4087,0.5369,0.6062,0.5887,0.5954,0.6994,0.6437
0.2751,0.4049,0.4364,0.5223,0.5547,0.5634,0.559,0.6405,0.6995
0.2516,0.3912,0.5253,0.5253,0.5261,0.5354,0.5717,0.6489,0.6702
0.2914,0.3935,0.4789,0.6427,0.5817,0.6397,0.6459,0.6095,0.6584
0.3185,0.2966,0.4685,0.5558,0.6072,0.6451,0.6097,0.6154,0.6695
0.2913,0.4391,0.4711,0.5075,0.5261,0.5797,0.6037,0.6592,0.6717
0.2859,0.3787,0.4412,0.6013,0.5749,0.6429,0.6142,0.6389,0.6834
0.2822,0.3316,0.4795,0.5415,0.572,0.6362,0.6496,0.5879,0.6467
0.3016,0.4103,0.4767,0.5076,0.5721,0.5225,0.6293,0.6228,0.6657
0.2291,0.3819,0.5495,0.5178,0.5653,0.6173,0.6492,0.678,0.6958
0.2475,0.4217,0.4689,0.5332,0.568,0.622,0.5653,0.6557,0.6515
0.2637,0.4332,0.5258,0.5069,0.6293,0.6147,0.6214,0.6469,0.6649
0.2598,0.3186,0.5017,0.5002,0.5473,0.6334,0.6184,0.6319,0.6907
0.255,0.3995,0.4745,0.5324,0.4907,0.569,0.592,0.5808,0.6522
0.2809,0.3375,0.4466,0.5878,0.5846,0.5774,0.6432,0.6348,0.702
0.3024,0.3816,0.4574,0.5073,0.5579,0.5989,0.6102,0.6398,0.6806
0.2526,0.4339,0.4739,0.5725,0.5859,0.5906,0.6037,0.686,0.7136
0.3084,0.3808,0.4788,0.5684,0.5315,0.568,0.6404,0.5859,0.5948
0.2592,0.4006,0.4639,0.5926,0.6192,0.5483,0.5666,0.6678,0.6628
0.2612,0.4276,0.494,0.5158,0.6753,0.6213,0.6178,0.6328,0.5936
0.2964,0.4313,0.4715,0.5317,0.5447,0.62,0.6212,0.6303,0.6558
