k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.4827,0.6275,0.6681,0.7698,0.7205,0.7551,0.7373,0.7538,0.7544
0.5057,0.735,0.6475,0.7369,0.7378,0.7412,0.7434,0.772,0.7323
0.482,0.638,0.625,0.7404,0.7429,0.75,0.7517,0.7508,0.7345
0.4879,0.6249,0.6021,0.6875,0.7337,0.7395,0.7285,0.7277,0.7637
0.5115,0.6166,0.6286,0.7426,0.7486,0.7539,0.7388,0.757,0.759
0.6294,0.6188,0.6471,0.731,0.75,0.7528,0.7385,0.7321,0.7313
0.4533,0.656,0.7441,0.7502,0.7489,0.7422,0.748,0.7323,0.7472
0.4791,0.6551,0.7268,0.7263,0.7478,0.7228,0.7459,0.7304,0.7423
0.5163,0.5831,0.6879,0.7436,0.7395,0.747,0.7447,0.7258,0.7508
0.4767,0.6103,0.7103,0.7235,0.7438,0.7635,0.7221,0.7591,0.7739
0.4828,0.6136,0.6571,0.717,0.7509,0.7304,0.7381,0.7569,0.7499
0.4047,0.614,0.7254,0.7371,0.7431,0.7589,0.7284,0.7385,0.7384
0.6003,0.6924,0.7118,0.73,0.7569,0.736,0.7328,0.7534,0.7485
0.5244,0.6389,0.6995,0.7436,0.7303,0.7519,0.7354,0.762,0.7275
0.4896,0.5586,0.7232,0.6946,0.7599,0.7506,0.757,0.752,0.7533
0.4397,0.6881,0.6827,0.6947,0.784,0.7487,0.7379,0.7499,0.7448
0.4736,0.6381,0.6809,0.7157,0.764,0.7436,0.7543,0.7361,0.7521
0.5143,0.6908,0.7214,0.7383,0.7551,0.7464,0.7436,0.7354,0.7557
0.7085,0.6002,0.7176,0.6801,0.7611,0.7516,0.7397,0.7249,0.7702
0.4661,0.6557,0.6743,0.7399,0.7372,0.7614,0.7001,0.7511,0.7442
0.5339,0.6391,0.6617,0.7095,0.738,0.738,0.7371,0.7265,0.7229
0.4382,0.6183,0.6753,0.7105,0.7343,0.7377,0.7684,0.7541,0.7392
0.3916,0.6175,0.7019,0.7373,0.7497,0.734,0.732,0.7617,0.7686
0.4997,0.5898,0.6929,0.6986,0.7555,0.7462,0.7219,0.7583,0.7421
0.4694,0.6209,0.7084,0.7428,0.7221,0.7542,0.7316,0.7224,0.7614
