k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.803,0.7793,0.7852,0.7767,0.7605,0.7617,0.7341,0.7667,0.7441
0.7856,0.7671,0.7526,0.7787,0.7749,0.7668,0.7409,0.7651,0.7486
0.7976,0.7906,0.7709,0.7622,0.7803,0.763,0.7481,0.7467,0.7505
0.7966,0.7925,0.7898,0.7689,0.7604,0.7723,0.7511,0.7621,0.7634
0.7978,0.7941,0.7702,0.7824,0.7599,0.7778,0.7612,0.7528,0.7507
0.7842,0.784,0.7782,0.7739,0.7603,0.757,0.7771,0.7374,0.7475
0.7932,0.7966,0.7733,0.7686,0.7801,0.7694,0.7476,0.7441,0.755
0.7972,0.7812,0.7819,0.7653,0.756,0.7588,0.7448,0.7473,0.7526
0.7901,0.7704,0.7833,0.7676,0.7721,0.7701,0.7547,0.7412,0.7485
0.803,0.7865,0.7813,0.7766,0.7745,0.7761,0.7519,0.7725,0.7394
0.7884,0.794,0.7841,0.7821,0.775,0.7522,0.7528,0.7455,0.7447
0.7961,0.7883,0.7494,0.7765,0.7671,0.7628,0.7595,0.7597,0.7293
0.7908,0.7981,0.7772,0.7894,0.7653,0.7374,0.7635,0.7565,0.7526
0.7829,0.7889,0.7643,0.7614,0.7493,0.7616,0.7376,0.7516,0.742
0.7685,0.7867,0.7862,0.774,0.7613,0.7656,0.7616,0.7542,0.7507
0.8029,0.7852,0.7842,0.7783,0.764,0.7541,0.7268,0.7478,0.7488
0.7947,0.791,0.7758,0.7707,0.7702,0.7656,0.729,0.7687,0.7531
0.7851,0.7929,0.7694,0.7784,0.7616,0.7623,0.7666,0.7561,0.7574
0.7973,0.791,0.784,0.7784,0.7673,0.7693,0.7501,0.7409,0.7555
0.8013,0.7767,0.7813,0.7578,0.7612,0.7621,0.7533,0.7706,0.7418
0.7986,0.7895,0.7695,0.7787,0.7756,0.7738,0.7351,0.7602,0.7407
0.777,0.7975,0.7883,0.775,0.7694,0.7661,0.74,0.7544,0.7459
0.7981,0.7955,0.7933,0.7722,0.7637,0.7565,0.7502,0.7582,0.7461
0.7851,0.7924,0.7861,0.7643,0.7702,0.7395,0.7547,0.7494,0.7534
0.8016,0.7944,0.7687,0.7741,0.7624,0.7561,0.7364,0.7612,0.7517
