k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.1574,0.2672,0.2283,0.2794,0.3299,0.2946,0.3331,0.3377,0.4464
0.2238,0.1769,0.3238,0.3221,0.3455,0.3071,0.2728,0.3917,0.4283
0.2058,0.2545,0.2603,0.2888,0.286,0.3369,0.3175,0.3211,0.4388
0.1873,0.2738,0.2379,0.2746,0.3396,0.2795,0.43,0.3354,0.372
0.18,0.2005,0.2602,0.2743,0.3036,0.3127,0.3073,0.348,0.4157
0.2445,0.2862,0.191,0.2916,0.2496,0.3215,0.4075,0.439,0.3218
0.1896,0.208,0.2724,0.2636,0.2724,0.335,0.5239,0.3451,0.4189
0.1743,0.1962,0.2364,0.3203,0.3122,0.3135,0.3071,0.3894,0.4357
0.2512,0.1892,0.2683,0.2712,0.2746,0.3748,0.3339,0.3373,0.4361
0.1752,0.2955,0.2021,0.2665,0.3098,0.2921,0.3354,0.2921,0.342
0.1923,0.2714,0.1919,0.2769,0.3318,0.3583,0.353,0.3559,0.382
0.1882,0.2027,0.3038,0.2945,0.2559,0.2687,0.3423,0.3279,0.4262
0.2293,0.2042,0.2552,0.3245,0.3352,0.2875,0.3904,0.3735,0.3661
0.1837,0.215,0.2302,0.2983,0.323,0.3459,0.407,0.3097,0.4122
0.1762,0.1888,0.2769,0.32,0.2579,0.2775,0.3127,0.3187,0.3221
0.1751,0.1686,0.2474,0.2849,0.2451,0.2845,0.2806,0.302,0.4433
0.183,0.2567,0.2354,0.2767,0.2492,0.29,0.3843,0.4713,0.4572
0.3166,0.1649,0.2215,0.2475,0.3075,0.2424,0.2999,0.3325,0.4171
0.3645,0.1829,0.2395,0.2628,0.3306,0.2677,0.2894,0.3414,0.3576
0.2112,0.2631,0.2695,0.3143,0.2603,0.3023,0.2841,0.3592,0.4735
0.1659,0.3051,0.2256,0.3331,0.3073,0.3131,0.2974,0.4327,0.351
0.3437,0.2228,0.2707,0.2911,0.243,0.2928,0.3171,0.413,0.4049
0.1966,0.1883,0.4948,0.3074,0.2601,0.2389,0.3105,0.3372,0.4524
0.2111,0.1852,0.2446,0.2952,0.3123,0.287,0.3566,0.3657,0.4286
0.1841,0.2638,0.2524,0.2688,0.3158,0.289,0.3504,0.3741,0.3752
