k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.7342,0.6923,0.6647,0.6593,0.6345,0.6226,0.6015,0.5942,0.58
0.7348,0.7072,0.6766,0.651,0.6219,0.6381,0.5981,0.5836,0.5872
0.7434,0.6913,0.6651,0.642,0.6353,0.6303,0.5892,0.5934,0.6001
0.7277,0.716,0.6606,0.6532,0.6329,0.6145,0.5787,0.585,0.5704
0.7331,0.7036,0.6636,0.656,0.6269,0.6099,0.6018,0.5915,0.5811
0.7197,0.7106,0.6621,0.6613,0.6421,0.62,0.6012,0.5773,0.5606
0.6986,0.7134,0.6622,0.6358,0.6272,0.6104,0.6068,0.565,0.576
0.7097,0.7,0.681,0.6516,0.6236,0.6211,0.6082,0.5899,0.5698
0.7142,0.7012,0.6716,0.6262,0.6166,0.6303,0.5826,0.5985,0.5471
0.7219,0.6929,0.6657,0.6488,0.6297,0.6103,0.5841,0.5881,0.5804
0.7325,0.7063,0.671,0.6442,0.6343,0.6182,0.5945,0.5776,0.5642
0.7298,0.6944,0.674,0.6376,0.6344,0.621,0.593,0.5945,0.5916
0.7333,0.6883,0.6795,0.6637,0.6144,0.6052,0.6139,0.5786,0.593
0.7079,0.693,0.6651,0.6333,0.6528,0.5806,0.61,0.6155,0.567
0.6998,0.707,0.6674,0.65,0.6291,0.6457,0.6099,0.5771,0.5725
0.7087,0.6859,0.656,0.6489,0.6254,0.6001,0.6048,0.5939,0.5896
0.7139,0.703,0.6451,0.6574,0.6232,0.6227,0.6105,0.5928,0.5891
0.7333,0.6887,0.669,0.6564,0.6453,0.6251,0.6156,0.5791,0.5788
0.7336,0.6895,0.6624,0.6758,0.6284,0.6207,0.6117,0.6011,0.5706
0.7249,0.7032,0.6684,0.6418,0.6323,0.6242,0.6014,0.5848,0.5709
0.7159,0.6938,0.6556,0.6478,0.6418,0.6186,0.59,0.5919,0.5612
0.7219,0.6963,0.678,0.6541,0.6425,0.5983,0.5908,0.5774,0.5975
0.7346,0.7016,0.669,0.6532,0.6486,0.6288,0.6117,0.5968,0.5621
0.7126,0.691,0.6686,0.6499,0.6489,0.6129,0.6039,0.603,0.5729
0.7156,0.6988,0.6647,0.6448,0.6482,0.6205,0.6087,0.5649,0.5856
