k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.7219,0.7262,0.7448,0.7706,0.764,0.7664,0.7372,0.755,0.7505
0.7289,0.7339,0.7522,0.752,0.773,0.7512,0.7631,0.7668,0.7649
0.7141,0.7509,0.7681,0.7465,0.7639,0.7665,0.769,0.785,0.7842
0.7108,0.7485,0.7508,0.7484,0.7628,0.7677,0.7416,0.7661,0.7647
0.726,0.7447,0.7484,0.7543,0.7574,0.7745,0.773,0.7721,0.7626
0.7259,0.7536,0.7647,0.7636,0.7745,0.7687,0.7526,0.769,0.7612
0.7285,0.7371,0.7652,0.7713,0.761,0.7667,0.775,0.7739,0.7611
0.7153,0.7518,0.7558,0.7501,0.7915,0.7659,0.7835,0.762,0.7755
0.7238,0.7477,0.7584,0.762,0.7616,0.7766,0.7422,0.7685,0.756
0.7172,0.7555,0.7513,0.7658,0.7699,0.7587,0.7588,0.7545,0.7772
0.7088,0.7449,0.7408,0.7566,0.763,0.7716,0.7668,0.7595,0.7835
0.7087,0.7211,0.7553,0.7548,0.7639,0.7491,0.7396,0.7672,0.76
0.6863,0.7413,0.7572,0.7743,0.7647,0.7791,0.7773,0.7556,0.7748
0.6987,0.7202,0.7643,0.7614,0.7666,0.7694,0.7524,0.7622,0.774
0.7262,0.76,0.7586,0.7767,0.7471,0.7567,0.7699,0.7781,0.7698
0.7272,0.7421,0.753,0.7717,0.7667,0.7556,0.7617,0.774,0.7722
0.7068,0.7389,0.763,0.7717,0.7806,0.7539,0.7656,0.7578,0.7559
0.7227,0.7538,0.753,0.7712,0.7798,0.7709,0.7528,0.7794,0.7374
0.7049,0.7407,0.7499,0.7646,0.7708,0.7549,0.754,0.7682,0.7435
0.7219,0.7414,0.7749,0.763,0.7482,0.7592,0.7462,0.7654,0.7817
0.723,0.7362,0.7429,0.7557,0.7611,0.7685,0.7697,0.7484,0.7735
0.7234,0.7362,0.7578,0.7574,0.7597,0.7688,0.7571,0.7403,0.7667
0.7112,0.7443,0.7382,0.7667,0.7553,0.7544,0.7624,0.7609,0.7727
0.7132,0.7558,0.7578,0.7573,0.7743,0.769,0.7533,0.7715,0.7651
0.7262,0.7596,0.7433,0.7524,0.7562,0.7568,0.7625,0.7675,0.7738
