k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.6443,0.6297,0.6485,0.6659,0.6423,0.661,0.6793,0.6587,0.6686
0.651,0.6165,0.6351,0.6593,0.6634,0.6662,0.6289,0.667,0.6956
0.6577,0.6385,0.6343,0.6537,0.6536,0.6614,0.6619,0.6618,0.6551
0.6421,0.6404,0.6352,0.6561,0.6764,0.673,0.6854,0.6788,0.6938
0.6138,0.6653,0.6487,0.6828,0.6793,0.6734,0.6977,0.6848,0.6857
0.6488,0.6313,0.6392,0.6406,0.6796,0.6641,0.6593,0.6787,0.6705
0.6129,0.6626,0.6404,0.6627,0.6738,0.6505,0.6811,0.6674,0.6884
0.6138,0.646,0.6209,0.6616,0.6652,0.6382,0.6758,0.7006,0.6546
0.6351,0.6266,0.6422,0.6758,0.6736,0.679,0.6892,0.6773,0.6734
0.635,0.6428,0.634,0.6726,0.6562,0.674,0.6882,0.6778,0.6639
0.6253,0.603,0.6227,0.6858,0.6605,0.6738,0.6712,0.6717,0.6674
0.6352,0.6435,0.6741,0.6412,0.647,0.6746,0.6736,0.6465,0.6662
0.6604,0.6542,0.6159,0.6818,0.6719,0.6205,0.6829,0.6783,0.6413
0.6482,0.6237,0.6519,0.6565,0.6629,0.6397,0.6621,0.6965,0.6738
0.6374,0.6382,0.646,0.6696,0.6641,0.6819,0.6749,0.6868,0.6961
0.6104,0.5908,0.6472,0.6535,0.6375,0.6876,0.6526,0.6689,0.6644
0.6412,0.6429,0.6454,0.672,0.6554,0.6788,0.6991,0.6851,0.6958
0.6547,0.6567,0.6518,0.6543,0.6635,0.6751,0.6734,0.6768,0.6927
0.6212,0.6335,0.6711,0.6304,0.6749,0.6856,0.66,0.6921,0.661
0.6401,0.6172,0.6599,0.659,0.6698,0.6592,0.6599,0.668,0.6665
0.6495,0.6576,0.6582,0.6671,0.6672,0.6545,0.654,0.6795,0.6824
0.6351,0.6579,0.6373,0.6385,0.6714,0.6453,0.6535,0.6512,0.6487
0.6446,0.6487,0.6328,0.6244,0.6616,0.6739,0.6631,0.6812,0.6779
0.6421,0.6043,0.6591,0.6659,0.6831,0.6622,0.6416,0.6757,0.6904
0.6352,0.6392,0.6524,0.6564,0.6311,0.6724,0.6431,0.6806,0.6522
