k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.5548,0.2793,0.3137,0.4202,0.4286,0.4736,0.4401,0.5569,0.5434
0.194,0.447,0.3312,0.42,0.4446,0.5774,0.4902,0.5197,0.5664
0.238,0.313,0.3804,0.3989,0.3962,0.4487,0.5269,0.5105,0.497
0.2269,0.2939,0.2821,0.4496,0.4141,0.5054,0.5072,0.5478,0.5696
0.2344,0.3033,0.3675,0.4207,0.5588,0.4352,0.4884,0.5595,0.5792
0.2036,0.2494,0.318,0.4182,0.4658,0.4417,0.4921,0.5862,0.5711
0.2744,0.2737,0.3559,0.453,0.4774,0.4627,0.4683,0.5622,0.6219
0.2527,0.2824,0.3427,0.4232,0.4041,0.4299,0.443,0.5163,0.5674
0.2184,0.3224,0.3362,0.3856,0.4192,0.4588,0.5038,0.5794,0.5988
0.2209,0.2961,0.4125,0.449,0.37,0.5058,0.5821,0.5377,0.5658
0.2138,0.276,0.2858,0.4078,0.459,0.491,0.5116,0.5232,0.5624
0.2395,0.2679,0.3707,0.3794,0.3823,0.5229,0.5651,0.5467,0.4998
0.6154,0.2595,0.3157,0.4113,0.4203,0.5255,0.4778,0.5617,0.4825
0.2154,0.3014,0.3494,0.4377,0.4353,0.508,0.4974,0.5356,0.5897
0.1787,0.2581,0.4108,0.4495,0.4591,0.5159,0.5007,0.5777,0.5194
0.2286,0.2661,0.4,0.3917,0.4032,0.5016,0.5639,0.5307,0.6225
0.211,0.2589,0.3259,0.3709,0.4656,0.502,0.5172,0.4954,0.5449
0.2715,0.3814,0.39,0.3995,0.4641,0.5243,0.4605,0.5145,0.5176
0.229,0.2915,0.3664,0.3822,0.4321,0.5451,0.534,0.5377,0.5312
0.2502,0.2778,0.359,0.421,0.4201,0.4752,0.4876,0.5736,0.5691
0.2452,0.313,0.3393,0.3839,0.4119,0.4625,0.4937,0.4829,0.4863
0.2393,0.2838,0.3491,0.4333,0.4171,0.4851,0.5292,0.5053,0.58
0.2012,0.3579,0.3906,0.4408,0.4631,0.4881,0.5295,0.5348,0.522
0.2684,0.2856,0.3153,0.4779,0.4506,0.3968,0.4768,0.5222,0.5382
0.2385,0.378,0.4012,0.4227,0.4182,0.5451,0.4885,0.5665,0.5505
