,0,1,2,3
171,Sum Squares,0.005,0,0.446961254689947
172,Sum Squares,0.001,0,60.845779523448364
173,Sum Squares,0.01,0,66.82461478922176
174,Sum Squares,0.1,0,4.531543155457544e+258
175,Sum Squares,1,0,-1
176,Sum Squares,1e-10,10,41913.87115838309
177,Sum Squares,5e-05,10,12160.5348515196
178,Sum Squares,0.0001,10,4809.870991970088
179,Sum Squares,0.005,10,15.63510406802163
180,Sum Squares,0.001,10,36.36277084815947
181,Sum Squares,0.01,10,748.896719805123
182,Sum Squares,0.1,10,8.60641630131912e+258
183,Sum Squares,1,10,-1
184,Sum Squares,1e-10,30,46059.85746918859
185,Sum Squares,5e-05,30,13548.347594864901
186,Sum Squares,0.0001,30,6315.086975232317
187,Sum Squares,0.005,30,172.18322226830713
188,Sum Squares,0.001,30,65.73459250860736
189,Sum Squares,0.01,30,1935.3851491715488
190,Sum Squares,0.1,30,6.9983819459701986e+258
191,Sum Squares,1,30,-1
192,Sum Squares,1e-10,50,43015.59203291892
193,Sum Squares,5e-05,50,10861.818208891318
194,Sum Squares,0.0001,50,5047.771552914404
195,Sum Squares,0.005,50,410.8539198429471
196,Sum Squares,0.001,50,116.44606693769435
197,Sum Squares,0.01,50,4366.1332385505575
198,Sum Squares,0.1,50,9.647336269884865e+258
199,Sum Squares,1,50,-1
200,Sum Squares,1e-10,70,41537.91982026315
201,Sum Squares,5e-05,70,14839.029041277558
202,Sum Squares,0.0001,70,5388.408261761139
203,Sum Squares,0.005,70,736.5990928051474
204,Sum Squares,0.001,70,167.28702762263518
205,Sum Squares,0.01,70,4574.179143705269
206,Sum Squares,0.1,70,5.324485599952248e+258
207,Sum Squares,1,70,-1
208,Sum Squares,1e-10,90,45467.43785644135
209,Sum Squares,5e-05,90,13023.752655743527
210,Sum Squares,0.0001,90,5196.471410557502
211,Sum Squares,0.005,90,1146.6193361151034
212,Sum Squares,0.001,90,187.40785984244766
213,Sum Squares,0.01,90,9143.716765892035
214,Sum Squares,0.1,90,1.9522320634984326e+258
215,Sum Squares,1,90,-1
216,Sum Squares,1e-10,100,42349.67717674985
217,Sum Squares,5e-05,100,11829.383960273517
218,Sum Squares,0.0001,100,4089.23455694819
219,Sum Squares,0.005,100,1678.22403527609
220,Sum Squares,0.001,100,369.48387122928733
221,Sum Squares,0.01,100,9395.797838729883
222,Sum Squares,0.1,100,1.4066776903841366e+259
223,Sum Squares,1,100,-1
