k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9
0.8581,0.8831,0.8715,0.8598,0.8455,0.826,0.8434,0.8361,0.8246
0.834,0.8736,0.8604,0.8544,0.8477,0.833,0.8344,0.8487,0.8302
